event_id,sport,league,date_utc,date_denmark,home,away,status
70207438,Football,Belgium - Pro League,2026-05-21T18:30:00Z,2026-05-21 20:30,RSC Anderlecht,St. Truidense VV,pending
70207440,Football,Belgium - Pro League,2026-05-21T18:30:00Z,2026-05-21 20:30,Yellow-Red KV Mechelen,Club Brugge,pending
71546792,Football,Switzerland - Super League,2026-05-21T18:15:00Z,2026-05-21 20:15,Grasshopper Club Zurich,FC Aarau,pending
70207436,Football,Belgium - Pro League,2026-05-21T18:30:00Z,2026-05-21 20:30,KAA Gent,Union Saint-Gilloise,pending
71443804,Football,Germany - Bundesliga,2026-05-21T18:30:00Z,2026-05-21 20:30,VFL Wolfsburg,SC Paderborn 07,pending
68971758,Football,"Brazil - Brasileiro Serie A2, Women",2026-05-21T19:00:00Z,2026-05-21 21:00,Acao Futebol MT,SC Recife PE,pending
70075104,Football,International Clubs - Copa Sudamericana,2026-05-22T02:00:00Z,2026-05-22 04:00,CSD Macara,Alianza Atletico,pending
71583282,Football,"Mexico - Liga MX, Clausura",2026-05-22T02:00:00Z,2026-05-22 04:00,CF Cruz Azul,Pumas UNAM,pending
70075146,Football,International Clubs - Copa Sudamericana,2026-05-21T22:00:00Z,2026-05-22 00:00,Atletico Mineiro MG,CS Cienciano,pending
70075148,Football,International Clubs - Copa Sudamericana,2026-05-21T22:00:00Z,2026-05-22 00:00,Academia Puerto Cabello,CA Juventud de Las Piedras,pending
70075222,Football,International Clubs - Copa Sudamericana,2026-05-22T00:00:00Z,2026-05-22 02:00,Racing Club Avellaneda,Caracas FC,pending
70075752,Football,International Clubs - Copa Libertadores,2026-05-22T00:30:00Z,2026-05-22 02:30,CD Universidad Catolica,Barcelona SC,pending
70075782,Football,International Clubs - Copa Libertadores,2026-05-22T00:30:00Z,2026-05-22 02:30,CA Penarol Montevideo,SC Corinthians SP,pending
70075296,Football,International Clubs - Copa Sudamericana,2026-05-22T00:30:00Z,2026-05-22 02:30,Blooming Santa Cruz,Carabobo FC,pending
70715396,Handball,Germany - Bundesliga,2026-05-21T18:00:00Z,2026-05-21 20:00,SC Magdeburg,SG Flensburg-Handewitt,pending
71444180,Handball,"Denmark - Kvindeligaen, Women",2026-05-21T18:30:00Z,2026-05-21 20:30,Herning-Ikast Haandbold,Team Esbjerg,pending
71486072,Tennis,"ATP - ATP Geneva, Switzerland Men Singles",2026-05-21T18:00:00Z,2026-05-21 20:00,"Rinderknech, Arthur","Bublik, Alexander",pending
71489490,Tennis,"ATP - ATP Hamburg, Germany Men Singles",2026-05-21T18:00:00Z,2026-05-21 20:00,"Darderi, Luciano","de Minaur, Alex",pending
63080263,Ice Hockey,International - World Championship,2026-05-21T18:20:00Z,2026-05-21 20:20,Switzerland,Great Britain,pending
63080421,Ice Hockey,International - World Championship,2026-05-21T18:20:00Z,2026-05-21 20:20,Denmark,Slovakia,pending
71614888,Ice Hockey,USA - AHL,2026-05-22T00:00:00Z,2026-05-22 02:00,Chicago Wolves,Grand Rapids Griffins,pending
70558006,Ice Hockey,USA - NHL,2026-05-22T00:00:00Z,2026-05-22 02:00,Carolina Hurricanes,Montreal Canadiens,pending
70643998,Cricket,International - ICC Cricket World Cup League Two,2026-05-22T03:45:00Z,2026-05-22 05:45,Nepal,USA,pending
