rule_type,target,action,reason
probability_band,0.00-0.35,suppress,avg_clv_delta=-1.5456 with rows=39
probability_band,0.35-0.45,monitor,"healthier watchlist band: avg_clv_delta=-0.0739, beat_rate=0.6111, rows=18"
