captured_at_utc,label,status_code,x_ratelimit_limit,x_ratelimit_remaining,x_ratelimit_reset,retry_after
2026-05-12T04:03:07.962466+00:00,bookmakers,200,,,,
2026-05-12T04:03:08.097545+00:00,bookmakers_selected,200,,,,
