snapshot_id,prediction_id,fixture_id,match_date,match_time,home_team,away_team,league,sample_phase,source_name,source_type,source_quality,selection,market_odds,fair_odds,probability,market_implied_probability,probability_edge,ev,match_confidence
46c32dc1e5dcc19f51d6,91c7da3f265881af706a,fd_I1_2026-05-11_Napoli_Bologna,2026-05-11,19:45,Napoli,Bologna,serie_a,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,4.01,3.52,0.2843,0.249377,0.034923,0.140043,1.0
65fc6fe146dd7cc42f6d,91c7da3f265881af706a,fd_I1_2026-05-11_Napoli_Bologna,2026-05-11,19:45,Napoli,Bologna,serie_a,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,6.06,3.18,0.3149,0.165017,0.149883,0.908294,1.0
73236c4236ac1cc4746f,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,1.83,2.35,0.4257,0.546448,-0.120748,-0.220969,1.0
a3f3a5368970a704d748,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,4.1,3.86,0.259,0.243902,0.015098,0.0619,1.0
aeaa18589672ebc6cfe5,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,3.75,3.17,0.3152,0.266667,0.048533,0.182,1.0
c917328d6b83291ffc3b,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,1.86,2.35,0.4257,0.537634,-0.111934,-0.208198,1.0
b8a5266bfc225fdb88f1,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,4.1,3.86,0.259,0.243902,0.015098,0.0619,1.0
44dd10c8503be39bbfe9,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,4.1,3.17,0.3152,0.243902,0.071298,0.29232,1.0
238b6864f98cd953d39f,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,1.82,2.35,0.4257,0.549451,-0.123751,-0.225226,1.0
6354fe1f2f730db224bf,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,3.82,3.86,0.259,0.26178,-0.00278,-0.01062,1.0
4d10cfe1fbf5914aaead,ea91de51c7aae9d65da2,fd_E0_2026-05-11_Tottenham_Leeds,2026-05-11,20:00,Tottenham,Leeds,premier_league,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,3.92,3.17,0.3152,0.255102,0.060098,0.235584,1.0
572709c7dcb8f787f93f,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,2.3,2.61,0.3833,0.434783,-0.051483,-0.11841,1.0
11e667f67b69984840eb,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,3.5,3.58,0.279,0.285714,-0.006714,-0.0235,1.0
29b8d562aa5ee9bc5ca7,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,3.0,2.96,0.3376,0.333333,0.004267,0.0128,1.0
28f50917ad28b34ab90f,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,2.38,2.61,0.3833,0.420168,-0.036868,-0.087746,1.0
0a18b061947c2c11ad8c,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,3.5,3.58,0.279,0.285714,-0.006714,-0.0235,1.0
09505f672852879c414f,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,3.05,2.96,0.3376,0.327869,0.009731,0.02968,1.0
aa955f92547dd19a1656,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,2.3,2.61,0.3833,0.434783,-0.051483,-0.11841,1.0
451bfe5dd22ec95dfa92,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,3.39,3.58,0.279,0.294985,-0.015985,-0.05419,1.0
96728be7d6d588041c43,c518d4d2d956f3533404,fd_SP1_2026-05-11_Vallecano_Girona,2026-05-11,20:00,Vallecano,Girona,la_liga,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,2.92,2.96,0.3376,0.342466,-0.004866,-0.014208,1.0
a6eee965124a757f0196,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,1.39,2.65,0.3772,0.719424,-0.342224,-0.475692,1.0
af8bd7c256482ce1aebf,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,4.33,3.65,0.274,0.230947,0.043053,0.18642,1.0
d289196f6a068452818f,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,7.0,2.87,0.3488,0.142857,0.205943,1.4416,1.0
8279881cc64d70f4d59c,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,1.44,2.65,0.3772,0.694444,-0.317244,-0.456832,1.0
706a84b5d3b06041985c,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,4.8,3.65,0.274,0.208333,0.065667,0.3152,1.0
2428ffa9cba29fab523a,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,7.5,2.87,0.3488,0.133333,0.215467,1.616,1.0
32bbcea2e56df4d81132,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,1.4,2.65,0.3772,0.714286,-0.337086,-0.47192,1.0
