sample_phase,settled_rows,win_rate,roi_units,avg_roi_per_bet,clv_rows,avg_clv_delta,beat_closing_line_rate,recommended_usage
historical_proxy_research,21,0.3333,-1.65,-0.0786,21,-1.3638,0.3333,diagnostics_only_not_forward_validation
unknown,189,0.3333,-1.8,-0.0095,189,-0.7976,0.4286,diagnostics_only
