snapshot_created_at_utc,snapshot_source,snapshot_type,market_proxy_quality,market_overround,source_league,source_season,Date,Time,HomeTeam,AwayTeam,market_home_odds,market_draw_odds,market_away_odds,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0267,ligue_1,2425,31/08/2024,18:00,Montpellier,Nantes,2.31,3.53,3.22,2.31,3.53,3.22,2.2,3.5,3.1
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0275,la_liga,2425,31/08/2024,18:15,Espanol,Vallecano,2.89,2.9,2.97,2.89,2.9,2.97,2.8,3.0,2.8
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0266,serie_a,2425,31/08/2024,19:45,Lazio,Milan,2.87,3.39,2.61,2.87,3.39,2.61,2.8,3.4,2.55
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0311,serie_a,2425,31/08/2024,19:45,Napoli,Parma,1.44,4.95,7.43,1.44,4.95,7.43,1.42,4.75,7.5
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0275,ligue_1,2425,31/08/2024,20:00,Toulouse,Marseille,3.16,3.62,2.3,3.16,3.62,2.3,3.0,3.7,2.2
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0267,la_liga,2425,31/08/2024,20:30,Leganes,Mallorca,2.85,2.76,3.19,2.85,2.76,3.19,2.8,2.75,3.0
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.028,la_liga,2425,31/08/2024,20:30,Valencia,Villarreal,2.67,3.18,2.95,2.67,3.18,2.95,2.6,3.2,2.8
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0318,serie_a,2425,31/10/2024,17:30,Genoa,Fiorentina,5.32,3.86,1.71,5.32,3.86,1.71,5.0,3.8,1.7
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.0268,serie_a,2425,31/10/2024,19:45,Como,Lazio,3.14,3.21,2.52,3.14,3.21,2.52,3.1,3.2,2.4
2026-05-12T16:26:16.469329+00:00,football-data.co.uk-closing-market-proxy,closing_market_proxy,historical_closing_lines,1.03,serie_a,2425,31/10/2024,19:45,Roma,Torino,1.82,3.56,5.01,1.82,3.56,5.01,1.75,3.6,4.75
