fixture_id,league,league_id,season,match_date,match_time,home_team,away_team,source,fetched_at_utc,event_status
odds_api_io_68377658,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-14,12:00,Landvetter IS,IF Boljan Falkenberg,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67921052,norway-3rd-division-group-6,norway-3rd-division-group-6,upcoming,2026-05-14,12:00,Oppsal IF,Raade IL,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67920356,norway-3rd-division-group-4,norway-3rd-division-group-4,upcoming,2026-05-14,12:00,Stabaek Fotball 2,Brodd,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70906780,bulgaria-parva-liga,bulgaria-parva-liga,upcoming,2026-05-14,12:15,FK Septemvri Sofia,FK Spartak 1918 Varna,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70981006,austria-amateur-ofb-cup-women,austria-amateur-ofb-cup-women,upcoming,2026-05-14,12:30,FC Salzburg Frauen,FK Austria Wien,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67915820,norway-2nd-division-group-1,norway-2nd-division-group-1,upcoming,2026-05-14,12:30,SK Traeff,Lysekloster,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68310888,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-14,13:00,Assyriska FF,Umea FC,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_71423498,zambia-super-league,zambia-super-league,upcoming,2026-05-14,13:00,Red Arrows,Green Eagles,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68320174,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-14,13:00,Lidkopings FK,Grebbestads IF,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67921064,norway-3rd-division-group-6,norway-3rd-division-group-6,upcoming,2026-05-14,13:00,Lillehammer FK,FK Gjoevik-Lyn,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67921056,norway-3rd-division-group-6,norway-3rd-division-group-6,upcoming,2026-05-14,13:00,Raelingen,Brumunddal Fotball,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67919620,norway-3rd-division-group-2,norway-3rd-division-group-2,upcoming,2026-05-14,13:00,Fk Kvik Trondheim,Strindheim TF,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70683964,finland-kolmonen,finland-kolmonen,upcoming,2026-05-14,13:00,Masku,LTU,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67919258,norway-3rd-division-group-1,norway-3rd-division-group-1,upcoming,2026-05-14,13:00,Lokomotiv Oslo,FK Union Carl Berner,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67915572,norway-2nd-division-group-2,norway-2nd-division-group-2,upcoming,2026-05-14,13:00,Hoenefoss BK,Stjordals-Blink,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70945796,iran-azadegan-league,iran-azadegan-league,upcoming,2026-05-14,13:00,Shahrdari Nowshahr,FC Fard Alborz,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_69491788,belgium-beker-van-belgie,belgium-beker-van-belgie,upcoming,2026-05-14,13:00,Union Saint-Gilloise,RSC Anderlecht,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67563266,zimbabwe-premier-soccer-league,zimbabwe-premier-soccer-league,upcoming,2026-05-14,13:00,Herentals FC,Dynamos Harare FC,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70774892,cameroon-elite-one,cameroon-elite-one,upcoming,2026-05-14,13:00,Fauve Azur de Yaounde,Gazelle FA de Garoua,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
