fixture_id,match_date,match_time,side,source_team,normalized_source_team,matched_model_team,match_type,suggested_model_team
odds_api_io_71324788,2026-06-01,22:30,away_team,Rolim de Moura RO,rolim de moura ro,,unmatched,
odds_api_io_71772920,2026-06-01,18:00,home_team,Racing Club Montevideo,racing club montevideo,,unmatched,
odds_api_io_71772920,2026-06-01,18:00,away_team,La Luz FC Reserves,la luz reserves,,unmatched,
odds_api_io_68971786,2026-06-01,18:00,home_team,SC Recife PE,sc recife pe,,unmatched,
odds_api_io_68971786,2026-06-01,18:00,away_team,Paysandu SC PA,paysandu sc pa,,unmatched,
odds_api_io_71604168,2026-06-01,17:30,home_team,SC FC Voluntari,sc voluntari,,unmatched,
odds_api_io_71604168,2026-06-01,17:30,away_team,AFC Hermannstadt,a hermannstadt,,unmatched,
odds_api_io_71718930,2026-06-01,18:00,home_team,Ser Caxias RS,ser caxias rs,,unmatched,
odds_api_io_71718930,2026-06-01,18:00,away_team,EC Juventude RS,ec juventude rs,,unmatched,
odds_api_io_71378240,2026-06-01,20:30,home_team,Sport Huancayo Reserve,sport huancayo reserve,,unmatched,
odds_api_io_71378240,2026-06-01,20:30,away_team,Ayacucho FC,ayacucho,,unmatched,
odds_api_io_68306858,2026-06-01,19:15,home_team,Throttur Reykjavik,throttur reykjavik,,unmatched,
odds_api_io_68306858,2026-06-01,19:15,away_team,UMF Grindavik,umf grindavik,,unmatched,
odds_api_io_71301328,2026-06-01,17:30,home_team,Turkiye,turkiye,,unmatched,
odds_api_io_71301328,2026-06-01,17:30,away_team,North Macedonia,north macedonia,,unmatched,
odds_api_io_71550284,2026-06-02,21:00,home_team,12 de Octubre de Itaugua,12 de octubre de itaugua,,unmatched,
odds_api_io_71550284,2026-06-02,21:00,away_team,Atlantida SC Asuncion,atlantida sc asuncion,,unmatched,
odds_api_io_71685306,2026-06-02,15:00,home_team,Al Kahrabaa SC,al kahrabaa sc,,unmatched,
odds_api_io_71685306,2026-06-02,15:00,away_team,AL Karma,al karma,,unmatched,
odds_api_io_71685310,2026-06-02,15:00,home_team,Al Quwa Al Jawiya,al quwa al jawiya,,unmatched,
odds_api_io_71685310,2026-06-02,15:00,away_team,Zakho FC,zakho,,unmatched,
odds_api_io_71685304,2026-06-02,15:00,home_team,Al-Gharraf SC,al-gharraf sc,,unmatched,
odds_api_io_71685304,2026-06-02,15:00,away_team,AL Naft Maysan,al naft maysan,,unmatched,
odds_api_io_70946092,2026-06-02,14:00,home_team,Ario Eslamshahr,ario eslamshahr,,unmatched,
odds_api_io_70946092,2026-06-02,14:00,away_team,Shahrdari Nowshahr,shahrdari nowshahr,,unmatched,
odds_api_io_68310936,2026-06-02,17:30,home_team,Assyriska FF,assyriska ff,,unmatched,
odds_api_io_68310936,2026-06-02,17:30,away_team,Enkopings SK,enkopings sk,,unmatched,
odds_api_io_71772924,2026-06-02,17:00,home_team,Boston River,boston river,,unmatched,
odds_api_io_71772924,2026-06-02,17:00,away_team,Defensor Sporting,defensor sporting,,unmatched,
odds_api_io_71770128,2026-06-02,12:15,home_team,Brunei Darussalam,brunei darussalam,,unmatched,
odds_api_io_71770128,2026-06-02,12:15,away_team,Timor-Leste,timor-leste,,unmatched,
odds_api_io_68158876,2026-06-02,18:00,home_team,CA Banfield,ca banfield,,unmatched,
odds_api_io_68158876,2026-06-02,18:00,away_team,CA Sarmiento de Junin,ca sarmiento de junin,,unmatched,
odds_api_io_71550282,2026-06-02,18:30,home_team,CA Colegiales,ca colegiales,,unmatched,
odds_api_io_71550282,2026-06-02,18:30,away_team,General Diaz Luque,general diaz luque,,unmatched,
odds_api_io_68158896,2026-06-02,18:00,home_team,CA Quilmes Reserve,ca quilmes reserve,,unmatched,
odds_api_io_68158896,2026-06-02,18:00,away_team,Deportivo Riestra Afbc Reserve,deportivo riestra afbc reserve,,unmatched,
odds_api_io_68158880,2026-06-02,18:00,home_team,CA Tigre Reserve,ca tigre reserve,,unmatched,
odds_api_io_68158880,2026-06-02,18:00,away_team,CA River Plate (Arg),ca river plate (arg),,unmatched,
odds_api_io_68880438,2026-06-02,01:00,home_team,Canada,canada,,unmatched,
odds_api_io_68880438,2026-06-02,01:00,away_team,Uzbekistan,uzbekistan,,unmatched,
odds_api_io_68687674,2026-06-02,00:30,home_team,CD Tecnico Universitario,cd tecnico universitario,,unmatched,
odds_api_io_68687674,2026-06-02,00:30,away_team,Barcelona SC,barcelona sc,,suggested_alias_needed,Barcelona
odds_api_io_71772926,2026-06-02,17:00,home_team,Central Espanol Reserve,central espanol reserve,,unmatched,
odds_api_io_71772926,2026-06-02,17:00,away_team,Club Oriental de Football,club oriental de football,,unmatched,
odds_api_io_71863238,2026-06-02,10:00,home_team,"Chen, Yu Fei",chen yu fei,,unmatched,
odds_api_io_71863238,2026-06-02,10:00,away_team,"Christophersen, Line",christophersen line,,unmatched,
odds_api_io_71826656,2026-06-02,13:00,home_team,China,china,,unmatched,
odds_api_io_71826656,2026-06-02,13:00,away_team,Congo Dr Youth,congo dr youth,,unmatched,
odds_api_io_71356338,2026-06-02,20:30,home_team,Club La Union,club la union,,unmatched,
odds_api_io_71356338,2026-06-02,20:30,away_team,CD Cuenca,cd cuenca,,unmatched,
odds_api_io_68158884,2026-06-02,18:00,home_team,Colon de Santa Fe Reserve,colon de santa fe reserve,,unmatched,
odds_api_io_68158884,2026-06-02,18:00,away_team,CA Huracan,ca huracan,,unmatched,
odds_api_io_68093892,2026-06-02,16:00,home_team,Croatia,croatia,,unmatched,
odds_api_io_68093892,2026-06-02,16:00,away_team,Belgium,belgium,,unmatched,
odds_api_io_71772928,2026-06-02,17:00,home_team,Deportivo Maldonado Reserve,deportivo maldonado reserve,,unmatched,
odds_api_io_71772928,2026-06-02,17:00,away_team,Cerro Largo FC,cerro largo,,unmatched,
odds_api_io_71766878,2026-06-02,22:00,home_team,Deportivo Merlo,deportivo merlo,,unmatched,
odds_api_io_71766878,2026-06-02,22:00,away_team,CSCD Laferrere,cscd laferrere,,unmatched,
odds_api_io_71740898,2026-06-02,16:30,home_team,Djoliba AC,djoliba ac,,unmatched,
odds_api_io_71740898,2026-06-02,16:30,away_team,Binga FC,binga,,unmatched,
odds_api_io_71685302,2026-06-02,15:00,home_team,Erbil SC,erbil sc,,unmatched,
odds_api_io_71685302,2026-06-02,15:00,away_team,Amanat Baghdad SC,amanat baghdad sc,,unmatched,
odds_api_io_70946098,2026-06-02,13:30,home_team,FC Fard Alborz,fard alborz,,unmatched,
odds_api_io_70946098,2026-06-02,13:30,away_team,Sanat Mes Kerman FC,sanat mes kerman,,unmatched,
odds_api_io_71863280,2026-06-02,10:00,home_team,Feng Y Z / Huang D P,feng y z / huang d p,,unmatched,
odds_api_io_71863280,2026-06-02,10:00,away_team,Wong J / Cheng S Y,wong j / cheng s y,,unmatched,
odds_api_io_68158886,2026-06-02,18:00,home_team,Ferro Carril Oeste,ferro carril oeste,,unmatched,
odds_api_io_68158886,2026-06-02,18:00,away_team,Estudiantes de Rio Cuarto Reserve,estudiantes de rio cuarto reserve,,unmatched,
odds_api_io_70346072,2026-06-02,17:00,home_team,Georgia,georgia,,unmatched,
odds_api_io_70346072,2026-06-02,17:00,away_team,Romania,romania,,unmatched,
odds_api_io_71800584,2026-06-02,10:15,home_team,Grange Thistle,grange thistle,,unmatched,
odds_api_io_71800584,2026-06-02,10:15,away_team,Souths United FC,souths united,,unmatched,
odds_api_io_70946102,2026-06-02,13:30,home_team,Havadar SC,havadar sc,,unmatched,
odds_api_io_70946102,2026-06-02,13:30,away_team,Navad Urmia FC,navad urmia,,unmatched,
odds_api_io_71127924,2026-06-02,11:00,home_team,Hellenic Athletic Club,hellenic athletic club,,unmatched,
odds_api_io_71127924,2026-06-02,11:00,away_team,Darwin Olympic SC,darwin olympic sc,,unmatched,
odds_api_io_71749910,2026-06-02,16:00,home_team,HJS,hjs,,unmatched,
odds_api_io_71749910,2026-06-02,16:00,away_team,FC KTP,ktp,,unmatched,
odds_api_io_71765914,2026-06-02,23:00,home_team,Independiente Medellin,independiente medellin,,unmatched,
odds_api_io_71765914,2026-06-02,23:00,away_team,Cucuta Deportivo FC,cucuta deportivo,,unmatched,
odds_api_io_68158890,2026-06-02,18:00,home_team,Independiente Reserve,independiente reserve,,unmatched,
odds_api_io_68158890,2026-06-02,18:00,away_team,Newells Old Boys,newells old boys,,unmatched,
odds_api_io_68538278,2026-06-02,15:30,home_team,JJK Jyvaskyla,jjk jyvaskyla,,unmatched,
odds_api_io_68538278,2026-06-02,15:30,away_team,VJS,vjs,,unmatched,
odds_api_io_71804388,2026-06-02,10:00,home_team,Lake Macquarie City FC Reserve,lake macquarie city reserve,,unmatched,
odds_api_io_71804388,2026-06-02,10:00,away_team,New Lambton FC Reserve,new lambton reserve,,unmatched,
odds_api_io_71772932,2026-06-02,18:00,home_team,Liverpool Montevideo,liverpool montevideo,,unmatched,
odds_api_io_71772932,2026-06-02,18:00,away_team,Progreso,progreso,,unmatched,
odds_api_io_71561984,2026-06-02,13:00,home_team,Malaysia,malaysia,,unmatched,
odds_api_io_71561984,2026-06-02,13:00,away_team,Singapore,singapore,,unmatched,
odds_api_io_70946168,2026-06-02,13:30,home_team,Mes Shahr-e Babak,mes shahr-e babak,,unmatched,
odds_api_io_70946168,2026-06-02,13:30,away_team,Sanat Naft Abadan FC,sanat naft abadan,,unmatched,
odds_api_io_71590092,2026-06-02,17:00,home_team,Morocco,morocco,,unmatched,
odds_api_io_71590092,2026-06-02,17:00,away_team,Madagascar,madagascar,,unmatched,
odds_api_io_70946170,2026-06-02,13:30,home_team,Nassaji Mazandaran FC,nassaji mazandaran,,unmatched,
odds_api_io_70946170,2026-06-02,13:30,away_team,Damash Gilan FC,damash gilan,,unmatched,
odds_api_io_69091344,2026-06-02,20:00,home_team,New Jersey Copa FC,new jersey copa,,unmatched,
odds_api_io_69091344,2026-06-02,20:00,away_team,Cedar Stars,cedar stars,,unmatched,
odds_api_io_69091350,2026-06-02,23:00,home_team,Nona FC,nona,,unmatched,
odds_api_io_69091350,2026-06-02,23:00,away_team,Brave SC,brave sc,,unmatched,
odds_api_io_71792742,2026-06-02,08:15,home_team,North Star,north star,,unmatched,
odds_api_io_71792742,2026-06-02,08:15,away_team,Brisbane Strikers,brisbane strikers,,unmatched,
odds_api_io_71828236,2026-06-02,14:00,home_team,Olimpia Grudziadz,olimpia grudziadz,,unmatched,
odds_api_io_71828236,2026-06-02,14:00,away_team,Sandecja Nowy Sacz,sandecja nowy sacz,,unmatched,
odds_api_io_71772930,2026-06-02,17:00,home_team,Penarol Montevideo,penarol montevideo,,unmatched,
odds_api_io_71772930,2026-06-02,17:00,away_team,Torque,torque,,unmatched,
odds_api_io_71828240,2026-06-02,11:00,home_team,Podbeskidzie Bielsko-Biała,podbeskidzie bielsko-biała,,unmatched,
odds_api_io_71828240,2026-06-02,11:00,away_team,Slask II Wroclaw,slask ii wroclaw,,unmatched,
odds_api_io_68311640,2026-06-02,17:00,home_team,FC Rosengaard 1917,rosengaard 1917,,unmatched,
odds_api_io_68311640,2026-06-02,17:00,away_team,Angelholms FF,angelholms ff,,unmatched,
odds_api_io_70771288,2026-06-02,16:30,home_team,Saudi Arabia,saudi arabia,,unmatched,
odds_api_io_70771288,2026-06-02,16:30,away_team,Colombia,colombia,,unmatched,
odds_api_io_71550280,2026-06-02,16:00,home_team,Sportivo Iteno,sportivo iteno,,unmatched,
odds_api_io_71550280,2026-06-02,16:00,away_team,Martin Ledesma,martin ledesma,,unmatched,
odds_api_io_69091342,2026-06-02,02:00,home_team,Stars FC,stars,,unmatched,
odds_api_io_69091342,2026-06-02,02:00,away_team,Southern California Eagles,southern california eagles,,unmatched,
odds_api_io_71804372,2026-06-02,00:30,home_team,SV Estrella,sv estrella,,unmatched,
odds_api_io_71804372,2026-06-02,00:30,away_team,Jong Aruba,jong aruba,,unmatched,
odds_api_io_61906404,2026-06-02,16:30,home_team,SV Grodig,sv grodig,,unmatched,
odds_api_io_61906404,2026-06-02,16:30,away_team,TSV Neumarkt,tsv neumarkt,,unmatched,
odds_api_io_71775906,2026-06-02,19:15,home_team,Union Brescia,union brescia,,unmatched,
odds_api_io_71775906,2026-06-02,19:15,away_team,Ascoli Calcio 1898,ascoli calcio 1898,,unmatched,
odds_api_io_70379216,2026-06-02,00:00,home_team,FC Universitario de Vinto,universitario de vinto,,unmatched,
odds_api_io_70379216,2026-06-02,00:00,away_team,Club Aurora,club aurora,,unmatched,
odds_api_io_71652274,2026-06-02,19:00,home_team,USM Alger,usm alger,,unmatched,
odds_api_io_71652274,2026-06-02,19:00,away_team,CR Belouizdad,cr belouizdad,,unmatched,
odds_api_io_69829662,2026-06-02,18:45,home_team,Wales,wales,,unmatched,
odds_api_io_69829662,2026-06-02,18:45,away_team,Ghana,ghana,,unmatched,
odds_api_io_71792738,2026-06-02,09:30,home_team,Wynnum Wolves FC,wynnum wolves,,unmatched,
