name,active,source
Pamestoixima,True,all_bookmakers
Panda,True,all_bookmakers
Parimatch UK,False,all_bookmakers
Piwi247 Exchange,True,all_bookmakers
Pixbet,True,all_bookmakers
Pix Bet,True,all_bookmakers
Planetwin365 IT,True,all_bookmakers
PMU,True,all_bookmakers
PointsBet AU,False,all_bookmakers
PokerStars FR,True,all_bookmakers
PokerStars IT,True,all_bookmakers
Polymarket,True,all_bookmakers
Powbet,True,all_bookmakers
Qbet,False,all_bookmakers
Quickcasino DK,True,all_bookmakers
Quickcasino SE,True,all_bookmakers
QuickWin,True,all_bookmakers
Quigioco IT,True,all_bookmakers
Rabona,True,all_bookmakers
Rainbet,True,all_bookmakers
RajBet,True,all_bookmakers
Razed,True,all_bookmakers
Retabet ES,True,all_bookmakers
Ricobet,True,all_bookmakers
Rollbit,True,all_bookmakers
Rolletto,True,all_bookmakers
Roobet,True,all_bookmakers
Sbobet,True,all_bookmakers
Sharp Exchange,True,all_bookmakers
SingBet,True,all_bookmakers
Sisal IT,True,all_bookmakers
Skybet,False,all_bookmakers
SkyExchange,True,all_bookmakers
Snai IT,True,all_bookmakers
Sortenabet,True,all_bookmakers
Spelet LV,True,all_bookmakers
Sportaza,True,all_bookmakers
SportBetting AG,True,all_bookmakers
SportingBet,True,all_bookmakers
Sportingbet BR,True,all_bookmakers
SportingBet ZA,True,all_bookmakers
Sports411,True,all_bookmakers
Sportsbet.com.au,True,all_bookmakers
Sportuna,True,all_bookmakers
SportyBet,True,all_bookmakers
Stake,True,all_bookmakers
Stake.bet.br,True,all_bookmakers
Stanleybet IT,False,all_bookmakers
Starcasino BE,True,all_bookmakers
Stoiximan,True,all_bookmakers
STS PL,True,all_bookmakers
SugarHouse,True,all_bookmakers
Superbet,True,all_bookmakers
SvenskaSpel,True,all_bookmakers
Synottip,True,all_bookmakers
Tab AU,False,all_bookmakers
TABtouch AU,True,all_bookmakers
Tiger Gaming,True,all_bookmakers
Tipico DE,True,all_bookmakers
Tippmix,True,all_bookmakers
TippmixPRO,True,all_bookmakers
Tipsport.cz,True,all_bookmakers
TonyBet,False,all_bookmakers
Unibet,True,all_bookmakers
Unibet AU,True,all_bookmakers
Unibet BE,True,all_bookmakers
Unibet DK,True,all_bookmakers
Unibet FR,True,all_bookmakers
Unibet IT,False,all_bookmakers
Unibet SE,True,all_bookmakers
Unibet UK,True,all_bookmakers
Vave,False,all_bookmakers
Vbet,True,all_bookmakers
Vbet BR,True,all_bookmakers
Veikkaus,True,all_bookmakers
VeloBet,True,all_bookmakers
Verabet,True,all_bookmakers
Wazamba,True,all_bookmakers
WELTBET,True,all_bookmakers
William Hill,True,all_bookmakers
WilliamHill NJ,True,all_bookmakers
Winamax DE,False,all_bookmakers
Winamax FR,True,all_bookmakers
Winpot MX,True,all_bookmakers
ZEbet FR,True,all_bookmakers
